Name,Chemical Name (IAPUC),Chemical Formula,MW,SMILES
KB-6,(S)-1-(diethylamino)tetradecan-2-ol,C18H39NO,285.52,CCN(C[C@@H](CCCCCCCCCCCC)O)CC
KB-7,(R)-1-(diethylamino)tetradecan-2-ol,C19H41NO,299.54,CCN(C[C@H](CCCCCCCCCCCCC)O)CC
KB-8,(S)-1-(diethylamino)pentadecan-2-ol,C19H41NO,299.54,CCN(C[C@@H](CCCCCCCCCCCCC)O)CC
KC-1,(R)-1-(diethylamino)pentadecan-2-ol,C50H98N6O4,847.37,O=C1N[C@H](CCC(NCCN(CCCCCCCCC)CCCCCCCCC)=O)C(N[C@@H]1CCC(NCCN(CCCCCCCCC)CCCCCCCCC)=O)=O
KC-2,"3,3'-((2R,5R)-3,6-dioxopiperazine-2,5-diyl)bis(N-(2-(dinonylamino)ethyl)propanamide)",C58H114N6O4,959.59,O=C1N[C@H](CCC(NCCN(CCCCCCCCCCC)CCCCCCCCCCC)=O)C(N[C@@H]1CCC(NCCN(CCCCCCCCCCC)CCCCCCCCCCC)=O)=O
KC-3,"3,3'-((2R,5R)-3,6-dioxopiperazine-2,5-diyl)bis(N-(2-(diundecylamino)ethyl)propanamide)",C66H130N6O4,1071.8,O=C1N[C@H](CCC(NCCN(CCCCCCCCCCCCC)CCCCCCCCCCCCC)=O)C(N[C@@H]1CCC(NCCN(CCCCCCCCCCCCC)CCCCCCCCCCCCC)=O)=O
KC-4,"3,3'-((2R,5R)-3,6-dioxopiperazine-2,5-diyl)bis(N-(2-(ditridecylamino)ethyl)propanamide)",C74H146N6O4,1184.02,O=C1N[C@H](CCC(NCCN(CCCCCCCCCCCCCCC)CCCCCCCCCCCCCCC)=O)C(N[C@@H]1CCC(NCCN(CCCCCCCCCCCCCCC)CCCCCCCCCCCCCCC)=O)=O
KC-5,"3,3'-((2R,5R)-3,6-dioxopiperazine-2,5-diyl)bis(N-(2-(dipentadecylamino)ethyl)propanamide)",C52H102N6O4,875.43,O=C1N[C@H](CCC(NCCCN(CCCCCCCCC)CCCCCCCCC)=O)C(N[C@@H]1CCC(NCCCN(CCCCCCCCC)CCCCCCCCC)=O)=O
KC-6,"3,3'-((2R,5R)-3,6-dioxopiperazine-2,5-diyl)bis(N-(3-(dinonylamino)propyl)propanamide)",C60H118N6O4,987.64,O=C1N[C@H](CCC(NCCCN(CCCCCCCCCCC)CCCCCCCCCCC)=O)C(N[C@@H]1CCC(NCCCN(CCCCCCCCCCC)CCCCCCCCCCC)=O)=O
KC-7,"3,3'-((2R,5R)-3,6-dioxopiperazine-2,5-diyl)bis(N-(3-(diundecylamino)propyl)propanamide)",C72H142N6O4,1155.97,O=C1N[C@H](CCC(NCCCN(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)=O)C(N[C@@H]1CCC(NCCCN(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)=O)=O
KC-8,"3,3'-((2R,5R)-3,6-dioxopiperazine-2,5-diyl)bis(N-(3-(ditetradecylamino)propyl)propanamide)",C80H158N6O4,1268.18,O=C1N[C@H](CCC(NCCCN(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)=O)C(N[C@@H]1CCC(NCCCN(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)=O)=O
gan-1-46,"3,6-bis(4-(bis(2-hydroxydecyl)amino)butyl)-1,4-bis(2-hydroxydecyl)piperazine-2,5-dione",C72H144N4O8,1193.964,O=C(N(CC(CCCCCCCC)O)C1CCCCN(CC(CCCCCCCC)O)CC(O)CCCCCCCC)C(CCCCN(CC(O)CCCCCCCC)CC(CCCCCCCC)O)N(CC(CCCCCCCC)O)C1=O
gan-1-52,"3,6-bis(4-(bis(2-hydroxydodecyl)amino)butyl)-1,4-bis(2-hydroxydodecyl)piperazine-2,5-dione",C84H168N4O8,1362.288,O=C(N(CC(CCCCCCCCCC)O)C1CCCCN(CC(CCCCCCCCCC)O)CC(O)CCCCCCCCCC)C(CCCCN(CC(O)CCCCCCCCCC)CC(CCCCCCCCCC)O)N(CC(CCCCCCCCCC)O)C1=O
gan-1-47,"3,6-bis(4-(bis(2-hydroxytetradecyl)amino)butyl)-1,4-bis(2-hydroxytetradecyl)piperazine-2,5-dione", C96H192N4O8,1530.612,O=C(N(CC(CCCCCCCCCCCC)O)C1CCCCN(CC(CCCCCCCCCCCC)O)CC(O)CCCCCCCCCCCC)C(CCCCN(CC(O)CCCCCCCCCCCC)CC(CCCCCCCCCCCC)O)N(CC(CCCCCCCCCCCC)O)C1=O
gan-1-48,"3,6-bis(4-(bis(2-hydroxyhexadecyl)amino)butyl)-1,4-bis(2-hydroxyhexadecyl)piperazine-2,5-dione",C108H216N4O8,1698.936,O=C(N(CC(CCCCCCCCCCCCCC)O)C1CCCCN(CC(CCCCCCCCCCCCCC)O)CC(O)CCCCCCCCCCCCCC)C(CCCCN(CC(O)CCCCCCCCCCCCCC)CC(CCCCCCCCCCCCCC)O)N(CC(CCCCCCCCCCCCCC)O)C1=O
gan-1-49,"3,6-bis(4-(bis(2-hydroxyoctadecyl)amino)butyl)-1,4-bis(2-hydroxyoctadecyl)piperazine-2,5-dione",C120H240N4O8,1867.26,O=C(N(CC(CCCCCCCCCCCCCCCC)O)C1CCCCN(CC(CCCCCCCCCCCCCCCC)O)CC(O)CCCCCCCCCCCCCCCC)C(CCCCN(CC(O)CCCCCCCCCCCCCCCC)CC(CCCCCCCCCCCCCCCC)O)N(CC(CCCCCCCCCCCCCCCC)O)C1=O
gan-1-38,"3,6-bis(4-(bis(2-hydroxydodecyl)amino)butyl)piperazine-2,5-dione",C60H120N4O6,993.642,O=C(NC1CCCCN(CC(CCCCCCCCCC)O)CC(O)CCCCCCCCCC)C(CCCCN(CC(O)CCCCCCCCCC)CC(CCCCCCCCCC)O)NC1=O
